title,link,kind,isfeature
Hành Tinh Khỉ: Vương Quốc Mới,https://ohitv.net/phim-le/hanh-tinh-khi-vuong-quoc-moi/,phim chieu rap,No
Những Người Bạn Tưởng Tượng,https://ohitv.net/phim-le/nhung-nguoi-ban-tuong-tuong/,phim chieu rap,No
Vây Hãm: Kẻ Trừng Phạt,https://ohitv.net/phim-le/vay-ham-ke-trung-phat/,phim chieu rap,No
Ngày Tàn Của Đế Quốc,https://ohitv.net/phim-le/ngay-tan-cua-de-quoc/,phim chieu rap,No
Anh Hùng Bàn Phím,https://ohitv.net/phim-le/anh-hung-ban-phim/,phim chieu rap,No
Godzilla x Kong: Đế Chế Mới,https://ohitv.net/phim-le/godzilla-x-kong-de-che-moi/,phim chieu rap,No
Tu Viện Máu,https://ohitv.net/phim-le/tu-vien-mau/,phim chieu rap,No
Nắm Đấm Trời Ban,https://ohitv.net/phim-le/nam-dam-troi-ban/,phim chieu rap,No
Cô Ấy Rực Rỡ,https://ohitv.net/phim-le/co-ay-ruc-ro/,phim chieu rap,No
Thanh Xuân 18×2: Lữ Trình Hướng Về Em,https://ohitv.net/phim-le/thanh-xuan-18x2-lu-trinh-huong-ve-em/,phim chieu rap,No
Hào Quang Đẫm Máu,https://ohitv.net/phim-le/hao-quang-dam-mau/,phim chieu rap,No
"Em, Người Mà Tôi Đã Đánh Mất",https://ohitv.net/phim-le/em-nguoi-toi-da-danh-mat/,phim chieu rap,No
Kung Fu Panda 4,https://ohitv.net/phim-le/kung-fu-panda-4/,phim chieu rap,No
Exhuma: Quật Mộ Trùng Ma,https://ohitv.net/phim-le/exhuma-quat-mo-trung-ma/,phim chieu rap,No
Cay Nóng Hôi Hổi (Nhiệt Lạt Cổn Thang),https://ohitv.net/phim-le/cay-nong-hoi-hoi/,phim chieu rap,No
Argylle: Siêu Điệp Viên,https://ohitv.net/phim-le/argylle-sieu-diep-vien/,phim chieu rap,No
Bà Thím Báo Thù,https://ohitv.net/phim-le/ba-thim-bao-thu/,phim chieu rap,No
Nàng Thơ Của Miller,https://ohitv.net/phim-le/nang-tho-cua-miller/,phim chieu rap,No
Mật Vụ Ong,https://ohitv.net/phim-le/mat-vu-ong/,phim chieu rap,No
Aquaman và Vương Quốc Thất Lạc,https://ohitv.net/phim-le/aquaman-va-vuong-quoc-that-lac/,phim chieu rap,No
Điệp Vụ Cuối Cùng,https://ohitv.net/phim-le/diep-vu-cuoi-cung/,phim chieu rap,No
Biệt Đội Săn Rồng,https://ohitv.net/phim-le/biet-doi-san-rong/,phim chieu rap,No
Một Mình Vẫn Ổn’t,https://ohitv.net/phim-le/mot-minh-van-on-t/,phim chieu rap,No
Băng Qua Biển Giận Dữ,https://ohitv.net/phim-le/bang-qua-bien-gian-du/,phim chieu rap,No
Đế Chế Napoleon,https://ohitv.net/phim-le/de-che-napoleon/,phim chieu rap,No
Biệt Đội Marvel,https://ohitv.net/phim-le/biet-doi-marvel/,phim chieu rap,No
Tee Yod: Quỷ Ăn Tạng,https://ohitv.net/phim-le/tee-yod-quy-an-tang/,phim chieu rap,No
Quỷ Lùn Tinh Nghịch 3: Đồng Tâm Hiệp Nhạc,https://ohitv.net/phim-le/quy-lun-tinh-nghich-3-dong-tam-hiep-nhac/,phim chieu rap,No
Yêu Lại Vợ Ngầu,https://ohitv.net/phim-le/yeu-lai-vo-ngau/,phim chieu rap,No
Hội Người Nghiện Gội Đầu,https://ohitv.net/phim-le/hoi-nguoi-nghien-goi-dau/,phim chieu rap,No
Phong Nguyệt Vô Biên,https://ohitv.net/phim-le/quai-vat/,phim chieu rap,No
Tình Thâm Bất Hối Tái Ái Nan Vi,https://ohitv.net/phim-le/dau-gau-dung-dau-dat/,phim chieu rap,No
Chuyện Tình Của Anh Chị Em Tôi,https://ohitv.net/phim-le/bong-dung-trung-so/,phim chieu rap,No
Yêu Giữa Đất Trời Đảo Điên,https://ohitv.net/phim-le/cuoc-goi/,phim chieu rap,No
Chúng Ta Ngang Tài Ngang Sức,https://ohitv.net/phim-le/kong-dao-dau-lau/,phim chieu rap,No
Nữ Hoàng Nước Mắt,https://ohitv.net/phim-le/kung-fu-gau-truc-2/,phim chieu rap,No
Trò Chơi Trí Mệnh,https://ohitv.net/phim-le/kung-fu-gau-truc/,phim chieu rap,No
Cõng Anh Mà Chạy,https://ohitv.net/phim-bo/phong-hoa-luu-kim/,action adventure,No
Tích Hoa Chỉ,https://ohitv.net/phim-bo/sup-do/,action adventure,No
Mặt Nạ Chân Tình,https://ohitv.net/phim-bo/dai-mong-quy-ly/,action adventure,No
Sắc Xuân Gửi Người Tình,https://ohitv.net/phim-bo/ngu-hanh-the-gia/,action adventure,No
Hoa Máu,https://ohitv.net/phim-bo/queen-woo/,action adventure,No
Oppenheimer,https://ohitv.net/phim-bo/ho-yeu-tieu-hong-nuong-nguyet-hong-thien/,action adventure,No
Quái Vật,https://ohitv.net/phim-bo/tu-tru-vuong-nguoi-thay-doi-dinh-menh/,action adventure,No
Đầu Gấu Đụng Đầu Đất,https://ohitv.net/phim-bo/tu-xuyen-quang-minh-tam-kiet/,action adventure,No
Bỗng Dưng Trúng Số,https://ohitv.net/phim-bo/the-than-ngu-khi-su-cuoi-cung/,action adventure,No
Cuộc Gọi,https://ohitv.net/phim-bo/liep-bang/,action adventure,No
Kong: Đảo Đầu Lâu,https://ohitv.net/phim-bo/dai-ly-tu-thieu-khanh-du/,action adventure,No
Chuyến Tàu Sinh Tử,https://ohitv.net/phim-bo/nha-cua-ninja/,action adventure,No
Kung Fu Panda 3,https://ohitv.net/phim-bo/cua-hang-sat-thu/,action adventure,No
Đại Dịch Cúm,https://ohitv.net/phim-bo/vuong-gia-vinh-dieu-vinh-dieu-chi-chuong-thanh-toai-nguyet/,action adventure,No
Kung Fu Gấu Trúc 2,https://ohitv.net/phim-bo/echo/,action adventure,No
Kung Fu Gấu Trúc,https://ohitv.net/phim-bo/thang-cap-mot-minh/,action adventure,No
Người Tình Sát Thủ,https://ohitv.net/phim-bo/dau-pha-thuong-khung-thieu-nien-tro-ve/,action adventure,No
Cáp Nhĩ Tân 1944,https://ohitv.net/phim-bo/ban-trai-toi-la-ho-ly-2/,action adventure,No
Doctor Who,https://ohitv.net/phim-bo/thieu-nien-ca-hanh/,action adventure,No
Dù Tôi Không Phải Người Hùng,https://ohitv.net/phim-bo/gia-toc-rong/,action adventure,No
Chiến Binh,https://ohitv.net/phim-bo/tram-vun-huong-phai-immortal-samsara/,action adventure,No
Phong Hỏa Lệnh (Phong Hỏa Lưu Kim),https://ohitv.net/phim-bo/hoan-hon/,action adventure,No
Sụp Đổ,https://ohitv.net/phim-bo/reacher-phat-sung-cuoi-cung/,action adventure,No
Quốc Sắc Phương Hoa,https://ohitv.net/phim-bo/tro-choi-con-muc/,action adventure,No
Đại Mộng Quy Ly,https://ohitv.net/phim-bo/barbaros-thanh-kiem-dia-trung-hai/,action adventure,No
Ngũ Hành Thế Gia,https://ohitv.net/phim-bo/neu-nhu/,action adventure,No
Queen Woo,https://ohitv.net/phim-bo/an-danh/,action adventure,No
Hồ Yêu Tiểu Hồng Nương Nguyệt Hồng Thiên,https://ohitv.net/phim-bo/vincenzo/,action adventure,No
Tứ Trụ Vương: Người Thay Đổi Định Mệnh,https://ohitv.net/phim-bo/thon-phe-tinh-khong/,action adventure,No
Tử Xuyên: Quang Minh Tam Kiệt,https://ohitv.net/phim-bo/nghe-thuat-san-quy-va-nau-mi/,action adventure,No
Thế Thần: Ngự khí sư cuối cùng,https://ohitv.net/phim-bo/thanh-tra-mau-muc/,action adventure,No
Liệp Băng,https://ohitv.net/phim-bo/khong-mot-ai-biet/,action adventure,No
Đại Lý Tự Thiếu Khanh Du,https://ohitv.net/phim-bo/bien-nien-su-arthda-arthdal-chronicles/,action adventure,No
Nhà của ninja,https://ohitv.net/phim-bo/mau-va-co-vat/,action adventure,No
Cửa Hàng Sát Thủ,https://ohitv.net/phim-bo/thanh-guom-diet-quy/,action adventure,No
Vương Giả Vinh Diệu – Vinh Diệu Chi Chương: Thành Toái Nguyệt,https://ohitv.net/phim-bo/hoi-nhan/,action adventure,No
Echo,https://ohitv.net/phim-bo/tinh-yeu-den-trang/,action adventure,No
Thăng Cấp Một Mình,https://ohitv.net/phim-bo/hau-due-mat-troi/,action adventure,No
Anh em nhà họ Tôn,https://ohitv.net/phim-bo/vuong-trieu-cuoi-cung/,action adventure,No
Berlin,https://ohitv.net/phim-bo/tinh-yeu-va-tien-bac/,action adventure,No
Sinh Vật Gyeongseong,https://ohitv.net/phim-bo/tro-choi-vuong-quyen/,action adventure,No
Percy Jackson và Các Vị Thần Trên Đỉnh Olympus,https://ohitv.net/phim-bo/vuot-nguc/,action adventure,No
Trò Chơi Sống Còn,https://ohitv.net/phim-bo/dao-hai-tac/,action adventure,No
Đấu Phá Thương Khung: Thiếu Niên Trở Về,https://ohitv.net/phim-bo/nam-thanh-yen/,phim chinh kich,No
Cáo Tinh Ranh,https://ohitv.net/phim-bo/dia-nguc-ngot-ngao-va-cay-dang/,phim chinh kich,No
Monarch: Thế Giới Quái Thú,https://ohitv.net/phim-bo/xin-hay-yeu-duong-voi-ke-hai-huoc-nhu-toi/,phim chinh kich,No
Cảnh Giác,https://ohitv.net/phim-bo/van-tram/,phim chinh kich,No
Hổ Hạc Yêu Sư Lục,https://ohitv.net/phim-bo/khi-em-chay-ve-moi-thoi-khong/,phim chinh kich,No
Tội Ác Kinh Hoàng,https://ohitv.net/phim-bo/cay-o-liu-mau-trang/,phim chinh kich,No
Bài Ca Của Lưỡi Kiếm,https://ohitv.net/phim-bo/vi-am-chi-hoa/,phim chinh kich,No
Trường Tương Tư,https://ohitv.net/phim-bo/phong-nguyet-vo-bien/,phim chinh kich,No
Khói Lửa Nhân Gian Của Tôi,https://ohitv.net/phim-bo/tam-biet-trai-dat/,phim chinh kich,No
Con Số Bí Mật,https://ohitv.net/phim-bo/dai-tieu-thu-vuot-qua-chong-gai/,phim chinh kich,No
Chó Săn Công Lý,https://ohitv.net/phim-le/vay-ham-ke-trung-phat/,phim chinh kich,No
Hiệp Sĩ Áo Đen,https://ohitv.net/phim-bo/bach-nguyet-phan-tinh/,phim chinh kich,No
Bạn Trai Tôi Là Hồ Ly 2,https://ohitv.net/phim-bo/du-quan-hanh/,phim chinh kich,No
Vân Tương Truyện,https://ohitv.net/phim-bo/than-su-dai-nhan-cua-ta/,phim chinh kich,No
Gia Đình,https://ohitv.net/phim-bo/cap-nhi-tan-1944/,phim chinh kich,No
Thiếu Niên Ca Hành,https://ohitv.net/phim-bo/dong-bac-bach-su/,phim chinh kich,No
Gia Tộc Rồng,https://ohitv.net/phim-bo/chief-detective-1958/,phim chinh kich,No
Trầm Vụn Hương Phai,https://ohitv.net/phim-bo/nhan-duyen-tuyet-hao/,phim chinh kich,No
Hoàn Hồn,https://ohitv.net/phim-le/bo-chien-tranh-bat-lich-su/,phim chinh kich,No
Reacher: Phát Súng Cuối Cùng,https://ohitv.net/phim-bo/nguoi-tinh-sat-thu/,phim chinh kich,No
Trò chơi con mực,https://ohitv.net/phim-bo/quan-tinh-lap-lanh/,phim chinh kich,No
Barbaros: Thanh Kiếm Địa Trung Hải,https://ohitv.net/phim-bo/phan-anh-hung/,phim chinh kich,No
Nếu Như…?,https://ohitv.net/phim-bo/mat-na-chan-tinh/,phim chinh kich,No
Ẩn Danh,https://ohitv.net/phim-bo/so-tay-cham-con-cua-ong-bo-bim-sua/,phim chinh kich,No
Vincenzo,https://ohitv.net/phim-le/ngay-tan-cua-de-quoc/,phim chinh kich,No
Thôn Phệ Tinh Không (Thôn Tính Bầu Trời),https://ohitv.net/phim-bo/blood-free/,phim chinh kich,No
Nghệ Thuật Săn Quỷ Và Nấu Mì,https://ohitv.net/phim-bo/lovely-runner/,phim chinh kich,No
Thanh Tra Mẫu Mực,https://ohitv.net/phim-bo/ky-sinh-thu-vung-xam/,phim chinh kich,No
Không Một Ai Biết,https://ohitv.net/phim-le/rebel-moon-phan-hai-ke-khac-vet-seo/,phim chinh kich,No
Biên Niên Sử Arthda,https://ohitv.net/phim-bo/hao-y-hanh/,phim chinh kich,No
Máu Và Cổ Vật,https://ohitv.net/phim-bo/yeu-giua-dat-troi-dao-dien/,phim chinh kich,No
Thanh Gươm Diệt Quỷ,https://ohitv.net/phim-bo/ly-ca/,phim chinh kich,No
Hội Nhẫn,https://ohitv.net/phim-bo/hong-y-tuy/,phim chinh kich,No
Tình Yêu Đen Trắng,https://ohitv.net/phim-bo/tinh-yeu-co-phao-hoa/,phim chinh kich,No
Hậu Duệ Mặt Trời,https://ohitv.net/phim-bo/luu-thuy-dao-dao/,phim chinh kich,No
Vương Triều Cuối Cùng,https://ohitv.net/phim-bo/chuyen-bay-khong-co-khieu-nai/,phim chinh kich,No
Tình Yêu Và Tiền Bạc,https://ohitv.net/phim-bo/ho-yeu-tieu-hong-nuong-nguyet-hong-thien/,phim chinh kich,No
Trò Chơi Vương Quyền,https://ohitv.net/phim-bo/hoa-gian-lenh/,phim chinh kich,No
Vượt Ngục,https://ohitv.net/phim-bo/tam-biet-bach-nguyet-quang/,phim chinh kich,No
Đảo Hải Tặc,https://ohitv.net/phim-le/co-ay-ruc-ro/,phim chinh kich,No
Nam Thành Yến,https://ohitv.net/phim-bo/the-than-ngu-khi-su-cuoi-cung/,phim chinh kich,No
Địa Ngục Ngọt Ngào và Cay Đắng,https://ohitv.net/phim-bo/nu-hoang-nuoc-mat/,phim chinh kich,No
Xin Hãy Yêu Đương Với Kẻ Hài Hước Như Tôi,https://ohitv.net/phim-bo/cuoc-chien-thua-ke/,phim chinh kich,No
Vấn Trâm,https://ohitv.net/phim-bo/hon-le-bat-kha-thi/,phim chinh kich,No
Khi Em Chạy Về Mọi Thời Không,https://ohitv.net/phim-bo/the-gioi-tuoi-dep/,phim chinh kich,No
Nam Ngọc Khanh Tâm,https://ohitv.net/phim-bo/tro-choi-kim-tu-thap/,phim chinh kich,No
The 8 Show,https://ohitv.net/phim-bo/chuong-reo/,phim chinh kich,No
Cô Ấy Hoàn Hảo,https://ohitv.net/phim-bo/dai-ly-tu-thieu-khanh-du/,phim chinh kich,No
Chú Samsik,https://ohitv.net/phim-bo/mo-sac-tam-tich/,phim chinh kich,No
Người Thừa Kế Gia Tộc,https://ohitv.net/phim-le/ten-toi-la-loh-kiwan/,phim chinh kich,No
Nước Ngọt Vị Cam (Nước Quýt Có Ga),https://ohitv.net/phim-bo/to-be-continued/,phim chinh kich,No
Giám Tâm,https://ohitv.net/phim-bo/phao-hoa-nhan-gia/,phim chinh kich,No
Không Thể Nói Ra,https://ohitv.net/phim-bo/xuan-nhat-nung-tinh/,phim chinh kich,No
Tương Tư Cổ,https://ohitv.net/phim-bo/tracker/,phim chinh kich,No
Thiên Hành Kiện,https://ohitv.net/phim-le/chung-ta-cung-nhau-lac-mat-troi/,phim chinh kich,No
Thử Khắc Vô Thanh (Nhất Thời Im Lặng),https://ohitv.net/phim-le/cay-nong-hoi-hoi/,phim chinh kich,No
A Lạp Thái Của Tôi,https://ohitv.net/phim-bo/nam-lai-bac-vang/,phim chinh kich,No
Tái Sinh,https://ohitv.net/phim-bo/dai-duong-dich-cong-an/,phim chinh kich,No
Đại Phụng Đả Canh Nhân,https://ohitv.net/phim-bo/nu-hon-o-seongsu/,phim chinh kich,No
Tiểu Đình Đài,https://ohitv.net/phim-bo/dai-duong-dich-cong-an/,phim chinh kich,No
Xin Hãy Yêu Anh Như Vậy,https://ohitv.net/phim-bo/nu-hon-o-seongsu/,phim chinh kich,No
Lực Lượng Gìn Giữ Hòa Bình,https://ohitv.net/phim-bo/tho-ta-di-binh/,phim chinh kich,No
Cây Ô Liu Màu Trắng,https://ohitv.net/phim-bo/tro-choi-tri-menh/,phim chinh kich,No
Vi Ám Chi Hỏa,https://ohitv.net/phim-bo/giua-con-bao-tuyet/,phim chinh kich,No
Tạm biệt Trái Đất,https://ohitv.net/phim-bo/nu-hoang-ly-hon/,phim chinh kich,No
Đại Tiểu Thư Vượt Qua Chông Gai,https://ohitv.net/phim-bo/a-mach-tong-quan/,phim chinh kich,No
Bạch Nguyệt Phạn Tinh,https://ohitv.net/phim-le/mat-vu-ong/,phim chinh kich,No
Dữ Quân Hành,https://ohitv.net/phim-bo/echo/,phim chinh kich,No
Thần Sứ Đại Nhân Của Ta,https://ohitv.net/phim-bo/huong-ve-em/,phim chinh kich,No
Đông Bắc Bạch Sự,https://ohitv.net/phim-bo/anh-cung-co-ngay-nay/,phim chinh kich,No
Chánh Thanh Tra 1958,https://ohitv.net/phim-bo/anh-em-nha-ho-ton/,phim chinh kich,No
Nhân Duyên Tuyệt Hảo,https://ohitv.net/phim-bo/tinh-ca-ao-mong/,phim chinh kich,No
Bộ Chiến Tranh Bất Lịch Sự,https://ohitv.net/phim-bo/co-di-ma-lay-chong-toi/,phim chinh kich,No
Quần Tinh Lấp Lánh,https://ohitv.net/phim-bo/thien-khoi-di-van-luc/,phim chinh kich,No
Phản Anh Hùng,https://ohitv.net/phim-bo/liet-ai/,phim chinh kich,No
Sổ Tay Chăm Con Của Ông Bố Bỉm Sữa,https://ohitv.net/phim-bo/vuot-dai-duong-de-yeu-em/,phim chinh kich,No
Loài Thống Trị,https://ohitv.net/phim-bo/thanh-thoi-gian/,phim chinh kich,No
Ký sinh thú: Vùng xám,https://ohitv.net/phim-bo/anh-va-co-ay/,phim chinh kich,No
Rebel Moon – Phần hai: Kẻ khắc vết sẹo,https://ohitv.net/phim-bo/tong-tu-thieu-hoa-luc/,phim chinh kich,No
Hạo Y Hành,https://ohitv.net/phim-bo/nhu-hoa-tren-cat/,phim chinh kich,No
Ly Ca,https://ohitv.net/phim-bo/hong-nhung/,phim chinh kich,No
Hồng Y Túy,https://ohitv.net/phim-bo/troi-choi-sinh-tu/,phim chinh kich,No
Tình Yêu Có Pháo Hoa,https://ohitv.net/phim-bo/snap-and-spark/,phim chinh kich,No
Lưu Thuỷ Đào Đào,https://ohitv.net/phim-le/rebel-moon-phan-mot-nguoi-con-cua-lua/,phim chinh kich,No
Chiết Yêu,https://ohitv.net/phim-bo/chech-quy-dao/,phim chinh kich,No
Tử Dạ Quy,https://ohitv.net/phim-bo/bi-kip-yeu-duong-cua-phuong-tieu-thu/,phim chinh kich,No
Niệm Vô Song,https://ohitv.net/phim-bo/nhac-truong-maesra-soi-day-chan-ly/,phim chinh kich,No
Cẩm Nguyệt Như Ca,https://ohitv.net/phim-bo/an-mang-noi-tan-cung-the-gioi/,phim chinh kich,No
Rèm Ngọc Châu Sa,https://ohitv.net/phim-bo/em-la-anh-sang-cua-anh/,phim chinh kich,No
Thừa Hoan Ký,https://ohitv.net/phim-bo/9-lan-gap-em/,phim chinh kich,No
